,DOI,Citation,Note,type
0,10.18653/v1/2020.findings-emnlp.372,388,,long
1,10.18653/v1/2020.findings-emnlp.139,151,,long
2,10.18653/v1/2020.findings-emnlp.171,132,,long
3,10.18653/v1/2020.findings-emnlp.217,118,,long
4,10.18653/v1/2020.findings-emnlp.117,96,,long
5,10.18653/v1/2020.findings-emnlp.63,80,,long
6,10.18653/v1/2020.findings-emnlp.92,72,,short
7,10.18653/v1/2020.findings-emnlp.58,71,,long
8,10.18653/v1/2020.findings-emnlp.196,66,,long
9,10.18653/v1/2020.findings-emnlp.17,64,,long
10,10.18653/v1/2020.findings-emnlp.301,60,,long
11,10.18653/v1/2020.findings-emnlp.165,57,,long
12,10.18653/v1/2020.findings-emnlp.232,53,,long
13,10.18653/v1/2020.findings-emnlp.261,53,,short
14,10.18653/v1/2020.findings-emnlp.292,46,,long
15,10.18653/v1/2020.findings-emnlp.445,46,,long
16,10.18653/v1/2020.findings-emnlp.91,41,,short
17,10.18653/v1/2020.findings-emnlp.147,41,,long
18,10.18653/v1/2020.findings-emnlp.71,40,,long
19,10.18653/v1/2020.findings-emnlp.106,38,,long
20,10.18653/v1/2020.findings-emnlp.148,36,,short
21,10.18653/v1/2020.findings-emnlp.414,36,,short
22,10.18653/v1/2020.findings-emnlp.49,34,,long
23,10.18653/v1/2020.findings-emnlp.7,32,,long
24,10.18653/v1/2020.findings-emnlp.425,31,,long
25,10.18653/v1/2020.findings-emnlp.428,30,,long
26,10.18653/v1/2020.findings-emnlp.291,29,,long
27,10.18653/v1/2020.findings-emnlp.65,27,,long
28,10.18653/v1/2020.findings-emnlp.195,27,,long
29,10.18653/v1/2020.findings-emnlp.19,26,,long
30,10.18653/v1/2020.findings-emnlp.125,26,,short
31,10.18653/v1/2020.findings-emnlp.369,26,,long
32,10.18653/v1/2020.findings-emnlp.399,26,,long
33,10.18653/v1/2020.findings-emnlp.438,25,,long
34,10.18653/v1/2020.findings-emnlp.27,23,,long
35,10.18653/v1/2020.findings-emnlp.207,23,,long
36,10.18653/v1/2020.findings-emnlp.314,22,,long
37,10.18653/v1/2020.findings-emnlp.224,21,,long
38,10.18653/v1/2020.findings-emnlp.22,20,,long
39,10.18653/v1/2020.findings-emnlp.107,20,,long
40,10.18653/v1/2020.findings-emnlp.440,19,,long
41,10.18653/v1/2020.findings-emnlp.283,18,,long
42,10.18653/v1/2020.findings-emnlp.341,18,,long
43,10.18653/v1/2020.findings-emnlp.398,18,,long
44,10.18653/v1/2020.findings-emnlp.128,17,,long
