,DOI,Citation,Note,type
0,10.18653/v1/2020.emnlp-main.1,4,,long
1,10.18653/v1/2020.emnlp-main.2,0,,long
2,10.18653/v1/2020.emnlp-main.3,7,,short
3,10.18653/v1/2020.emnlp-main.4,5,,short
4,10.18653/v1/2020.emnlp-main.5,43,,long
5,10.18653/v1/2020.emnlp-main.6,17,,long
6,10.18653/v1/2020.emnlp-main.7,8,,short
7,10.18653/v1/2020.emnlp-main.8,23,,long
8,10.18653/v1/2020.emnlp-main.9,16,,long
9,10.18653/v1/2020.emnlp-main.10,16,,long
10,10.18653/v1/2020.emnlp-main.11,21,,long
11,10.18653/v1/2020.emnlp-main.12,18,,short
12,10.18653/v1/2020.emnlp-main.13,8,,short
13,10.18653/v1/2020.emnlp-main.14,94,,long
14,10.18653/v1/2020.emnlp-main.15,13,,long
15,10.18653/v1/2020.emnlp-main.16,16,,long
16,10.18653/v1/2020.emnlp-main.17,7,,long
17,10.18653/v1/2020.emnlp-main.18,9,,long
18,10.18653/v1/2020.emnlp-main.19,61,,long
19,10.18653/v1/2020.emnlp-main.20,18,,short
20,10.18653/v1/2020.emnlp-main.21,47,,short
21,10.18653/v1/2020.emnlp-main.22,1,,long
22,10.18653/v1/2020.emnlp-main.23,24,,long
23,10.18653/v1/2020.emnlp-main.24,14,,long
24,10.18653/v1/2020.emnlp-main.25,1,,short
25,10.18653/v1/2020.emnlp-main.26,1,,long
26,10.18653/v1/2020.emnlp-main.27,10,,long
27,10.18653/v1/2020.emnlp-main.28,16,,long
28,10.18653/v1/2020.emnlp-main.29,8,,long
29,10.18653/v1/2020.emnlp-main.30,4,,long
30,10.18653/v1/2020.emnlp-main.31,13,,long
31,10.18653/v1/2020.emnlp-main.32,4,,long
32,10.18653/v1/2020.emnlp-main.33,10,,long
33,10.18653/v1/2020.emnlp-main.34,0,,long
34,10.18653/v1/2020.emnlp-main.35,10,,long
35,10.18653/v1/2020.emnlp-main.36,15,,long
36,10.18653/v1/2020.emnlp-main.37,28,,long
37,10.18653/v1/2020.emnlp-main.38,20,,long
38,10.18653/v1/2020.emnlp-main.39,7,,long
39,10.18653/v1/2020.emnlp-main.40,12,,short
40,10.18653/v1/2020.emnlp-main.41,10,,long
41,10.18653/v1/2020.emnlp-main.42,13,,long
42,10.18653/v1/2020.emnlp-main.43,8,,long
43,10.18653/v1/2020.emnlp-main.44,11,,long
44,10.18653/v1/2020.emnlp-main.45,7,,long
45,10.18653/v1/2020.emnlp-main.46,1,,long
46,10.18653/v1/2020.emnlp-main.47,5,,long
47,10.18653/v1/2020.emnlp-main.48,20,,long
48,10.18653/v1/2020.emnlp-main.49,43,,long
49,10.18653/v1/2020.emnlp-main.50,13,,long
50,10.18653/v1/2020.emnlp-main.51,21,,long
51,10.18653/v1/2020.emnlp-main.52,3,,long
52,10.18653/v1/2020.emnlp-main.53,4,,short
53,10.18653/v1/2020.emnlp-main.54,15,,long
54,10.18653/v1/2020.emnlp-main.55,36,,long
55,10.18653/v1/2020.emnlp-main.56,8,,long
56,10.18653/v1/2020.emnlp-main.57,6,,long
57,10.18653/v1/2020.emnlp-main.58,12,,long
58,10.18653/v1/2020.emnlp-main.59,7,,long
59,10.18653/v1/2020.emnlp-main.60,7,,long
60,10.18653/v1/2020.emnlp-main.61,15,,long
61,10.18653/v1/2020.emnlp-main.62,8,,long
62,10.18653/v1/2020.emnlp-main.63,25,,long
63,10.18653/v1/2020.emnlp-main.64,21,,long
64,10.18653/v1/2020.emnlp-main.65,7,,long
65,10.18653/v1/2020.emnlp-main.66,73,,long
66,10.18653/v1/2020.emnlp-main.67,9,,long
67,10.18653/v1/2020.emnlp-main.68,4,,long
68,10.18653/v1/2020.emnlp-main.69,3,,long
69,10.18653/v1/2020.emnlp-main.70,5,,short
70,10.18653/v1/2020.emnlp-main.71,0,,long
71,10.18653/v1/2020.emnlp-main.72,12,,long
72,10.18653/v1/2020.emnlp-main.73,5,,long
73,10.18653/v1/2020.emnlp-main.74,9,,short
74,10.18653/v1/2020.emnlp-main.75,14,,long
75,10.18653/v1/2020.emnlp-main.76,6,,long
76,10.18653/v1/2020.emnlp-main.77,7,,long
77,10.18653/v1/2020.emnlp-main.78,3,,short
78,10.18653/v1/2020.emnlp-main.79,2,,short
79,10.18653/v1/2020.emnlp-main.80,11,,short
80,10.18653/v1/2020.emnlp-main.81,6,,short
81,10.18653/v1/2020.emnlp-main.82,3,,long
82,10.18653/v1/2020.emnlp-main.83,37,,long
83,10.18653/v1/2020.emnlp-main.84,9,,long
84,10.18653/v1/2020.emnlp-main.85,9,,long
85,10.18653/v1/2020.emnlp-main.86,11,,long
86,10.18653/v1/2020.emnlp-main.87,5,,long
87,10.18653/v1/2020.emnlp-main.88,30,,long
88,10.18653/v1/2020.emnlp-main.89,61,,long
89,10.18653/v1/2020.emnlp-main.90,5,,long
90,10.18653/v1/2020.emnlp-main.91,1,,short
91,10.18653/v1/2020.emnlp-main.92,3,,long
92,10.18653/v1/2020.emnlp-main.93,1,,short
93,10.18653/v1/2020.emnlp-main.94,2,,long
94,10.18653/v1/2020.emnlp-main.95,6,,long
95,10.18653/v1/2020.emnlp-main.96,3,,long
96,10.18653/v1/2020.emnlp-main.97,21,,long
97,10.18653/v1/2020.emnlp-main.98,0,,long
98,10.18653/v1/2020.emnlp-main.99,33,,long
99,10.18653/v1/2020.emnlp-main.100,0,,short
100,10.18653/v1/2020.emnlp-main.101,3,,long
101,10.18653/v1/2020.emnlp-main.102,12,,long
102,10.18653/v1/2020.emnlp-main.103,6,,short
103,10.18653/v1/2020.emnlp-main.104,1,,long
104,10.18653/v1/2020.emnlp-main.105,20,,long
105,10.18653/v1/2020.emnlp-main.106,2,,short
106,10.18653/v1/2020.emnlp-main.107,7,,short
107,10.18653/v1/2020.emnlp-main.108,7,,long
108,10.18653/v1/2020.emnlp-main.109,3,,long
109,10.18653/v1/2020.emnlp-main.110,5,,long
110,10.18653/v1/2020.emnlp-main.111,8,,long
111,10.18653/v1/2020.emnlp-main.112,15,,long
112,10.18653/v1/2020.emnlp-main.113,3,,long
113,10.18653/v1/2020.emnlp-main.114,2,,long
114,10.18653/v1/2020.emnlp-main.115,5,,long
115,10.18653/v1/2020.emnlp-main.116,2,,long
116,10.18653/v1/2020.emnlp-main.117,37,,long
117,10.18653/v1/2020.emnlp-main.118,4,,long
118,10.18653/v1/2020.emnlp-main.119,7,,long
119,10.18653/v1/2020.emnlp-main.120,16,,long
120,10.18653/v1/2020.emnlp-main.121,3,,long
121,10.18653/v1/2020.emnlp-main.122,9,,long
122,10.18653/v1/2020.emnlp-main.123,1,,short
123,10.18653/v1/2020.emnlp-main.124,19,,long
124,10.18653/v1/2020.emnlp-main.125,1,,long
125,10.18653/v1/2020.emnlp-main.126,9,,short
126,10.18653/v1/2020.emnlp-main.127,22,,long
127,10.18653/v1/2020.emnlp-main.128,32,,long
128,10.18653/v1/2020.emnlp-main.129,10,,long
129,10.18653/v1/2020.emnlp-main.130,6,,long
130,10.18653/v1/2020.emnlp-main.131,4,,long
131,10.18653/v1/2020.emnlp-main.132,4,,long
132,10.18653/v1/2020.emnlp-main.133,15,,long
133,10.18653/v1/2020.emnlp-main.134,13,,short
134,10.18653/v1/2020.emnlp-main.135,11,,short
135,10.18653/v1/2020.emnlp-main.136,10,,long
136,10.18653/v1/2020.emnlp-main.137,8,,long
137,10.18653/v1/2020.emnlp-main.138,5,,long
138,10.18653/v1/2020.emnlp-main.139,0,,short
139,10.18653/v1/2020.emnlp-main.140,3,,long
140,10.18653/v1/2020.emnlp-main.141,3,,long
141,10.18653/v1/2020.emnlp-main.142,4,,long
142,10.18653/v1/2020.emnlp-main.143,8,,long
143,10.18653/v1/2020.emnlp-main.144,2,,long
144,10.18653/v1/2020.emnlp-main.145,5,,long
145,10.18653/v1/2020.emnlp-main.146,10,,long
146,10.18653/v1/2020.emnlp-main.147,9,,long
147,10.18653/v1/2020.emnlp-main.148,7,,long
148,10.18653/v1/2020.emnlp-main.149,3,,long
149,10.18653/v1/2020.emnlp-main.150,8,,long
150,10.18653/v1/2020.emnlp-main.151,3,,long
151,10.18653/v1/2020.emnlp-main.152,14,,short
152,10.18653/v1/2020.emnlp-main.153,22,,long
153,10.18653/v1/2020.emnlp-main.154,40,,long
154,10.18653/v1/2020.emnlp-main.155,3,,short
155,10.18653/v1/2020.emnlp-main.156,10,,long
156,10.18653/v1/2020.emnlp-main.157,2,,short
157,10.18653/v1/2020.emnlp-main.158,4,,long
158,10.18653/v1/2020.emnlp-main.159,1,,short
159,10.18653/v1/2020.emnlp-main.160,0,,short
160,10.18653/v1/2020.emnlp-main.161,64,,long
161,10.18653/v1/2020.emnlp-main.162,24,,long
162,10.18653/v1/2020.emnlp-main.163,5,,long
163,10.18653/v1/2020.emnlp-main.164,1,,long
164,10.18653/v1/2020.emnlp-main.165,11,,long
165,10.18653/v1/2020.emnlp-main.166,8,,long
166,10.18653/v1/2020.emnlp-main.167,0,,short
167,10.18653/v1/2020.emnlp-main.168,4,,long
168,10.18653/v1/2020.emnlp-main.169,1,,long
169,10.18653/v1/2020.emnlp-main.170,25,,long
170,10.18653/v1/2020.emnlp-main.171,0,,long
171,10.18653/v1/2020.emnlp-main.172,2,,short
172,10.18653/v1/2020.emnlp-main.173,4,,long
173,10.18653/v1/2020.emnlp-main.174,15,,long
174,10.18653/v1/2020.emnlp-main.175,16,,long
175,10.18653/v1/2020.emnlp-main.176,6,,long
176,10.18653/v1/2020.emnlp-main.177,1,,long
177,10.18653/v1/2020.emnlp-main.178,12,,long
178,10.18653/v1/2020.emnlp-main.179,7,,long
179,10.18653/v1/2020.emnlp-main.180,33,,long
180,10.18653/v1/2020.emnlp-main.181,5,,short
181,10.18653/v1/2020.emnlp-main.182,7,,long
182,10.18653/v1/2020.emnlp-main.183,22,,long
183,10.18653/v1/2020.emnlp-main.184,8,,long
184,10.18653/v1/2020.emnlp-main.185,33,,long
185,10.18653/v1/2020.emnlp-main.186,5,,long
